"","authorizer","enterer","modifier","reference_no","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","basis","language","doi","comments","project_name","project_ref_no","created","modified"
"547","J. Mueller","T. Liebrecht","",28481,"R.","Damiani","C. A.","Sidor","J. S. Steyer, R. M. H. Smith, H. C. E. Larsson, A. Maga, O. Ide",2006,"The Vertebrate Fauna of the Upper Permian of Niger. V. The Primitive Temnospondyl Saharastega moradiensis","Journal of Vertebrate Paleontology","","26","3","559","572","journal article","stated with evidence","English","","","",NA,"2008-11-14 03:46:50","2008-11-14 22:46:50"
"554","M. Carrano","M. Carrano","M. Carrano",13103,"UCMP","Database","","","",2005,"UCMP collections database","University of California Museum of Paleontology","","","","","","unpublished","stated without evidence","","","","",NA,"2005-04-06 18:41:22","2005-04-07 11:41:22"
"561","J. Mueller","T. Liebrecht","",32315,"J. W.","Dawson","","","",1863,"Notice of a New Species of Dendrerpeton, and of the Dermal Coverings of certain Carboniferous Reptiles","Quarterly Journal of the Geological Society of London","","19","","469","473","journal article","stated without evidence","English","10.1144/GSL.JGS.1863.019.01-02.42","","",NA,"2010-03-15 20:06:27","2010-03-16 14:06:27"
"570","C. Sidor","C. Sidor","M. Carrano",4333,"R. E.","DeMar","","","",1967,"Two new species of Broiliellus (amphibians) from the Permian of Texas","Fieldiana Geology","","16","5","117","129","journal article","stated without evidence","English","","","5%",41180,"2002-03-04 16:40:35","2005-03-05 09:01:53"
"575","P. Mannion","P. Mannion","M. Carrano",46719,"D. G.","Demar, Jr.","","","",2013,"A new fossil salamander (Caudata, Proteidae) from the Upper Cretaceous (Maastrichtian) Hell Creek Formation, Montana, U.S.A.","Journal of Vertebrate Paleontology","","33","3","588","598","journal article","stated with evidence","English","","","",NA,"2013-05-08 19:47:42","2013-07-27 05:55:07"
"581","R. Butler","R. Butler","",34123,"S.","Dias-da-Silva","C.","Marsicano","C. L. Schultz",2006,"Rhytidosteid temnospondyls in Gondwana: a new taxon from the Lower Triassic of Brazil","Palaeontology","","49","","381","390","journal article","stated with evidence","English","","","",NA,"2010-11-03 08:29:58","2010-11-04 02:29:58"
"600","P. Mannion","P. Mannion","",47770,"L.","Dong","Z.","Ro&#269;ek","Y. Wang, M. E. H. Jones",2013,"Anurans from the Lower Cretaceous Jehol Group of Western Liaoning, China","PLoS One","","8","7","e69723","","journal article","stated with evidence","English","10.1371/journal.pone.0069723","","",NA,"2013-07-30 23:26:34","2013-07-30 23:26:34"
"604","J. Alroy","J. Alroy","J. Alroy",30989,"Z.","Dong","Y.","Wang","",1998,"A new urodele (Liaoxitriton zhongjiani gen. et sp. nov.) from the Early Cretaceous of western Liaoning Province, China","Vertebrata PalAsiatica","","36","4","159","172","journal article","stated with evidence","Chinese","","with English abstract","",NA,"2009-10-28 14:20:17","2009-10-29 08:52:31"
"609","R. Butler","R. Butler","",35325,"K. D.","Doyle","H.-D.","Sues","",1995,"Phytosaurs (Reptilia: Archosauria) from the Upper Triassic New Oxford Formation of York County, Pennsylvania","Journal of Vertebrate Paleontology","","15","3","545","553","journal article","stated with evidence","English","","","",NA,"2011-02-26 01:23:30","2011-02-26 01:23:30"
"615","R. Butler","R. Butler","",35623,"J.-M.","Dutuit","","","",1978,"Description de quelques fragments osseux provenant de la region Folakara (Trias superieur malgache)","Bulletin du Museum National d'Histoire Naturelle, Sciences de la Terre","","516","","79","89","journal article","none discussed","French","","","",NA,"2011-03-25 02:48:19","2011-03-25 02:48:19"
"616","J. Mueller","T. Liebrecht","T. Liebrecht",30045,"J.-M.","Dutuit","","","",1988,"Diplocaulus minimus n. sp. (Amphibia: Nectridea), L�pospondyle de la formation d� Argana, dans l�Atlas occidental marocain","Comptes Rendus de l'Academie des Sciences Paris, S�rie II","","307","","851","854","journal article","stated without evidence","French","","","",NA,"2009-06-04 12:06:33","2009-06-05 18:36:57"
"633","M. Carrano","M. Carrano","",15455,"D. A.","Eberth","D. B.","Brinkman","P. A. Johnston",1988,"Bonebed 31","In D. A. Eberth (ed.), Palaeoecology of Upper Cretaceous Judith River Formation at Dinosaur Provincial Park, Alberta, Canada. Society of Vertebrate Paleontology 48th Annual Meeting, Field Trip ""B"" (October 12, 1988). Occasional Paper of theTyrrell Museum of Palaeontology","","7","","23","26","guidebook","stated without evidence","English","","","ETE",NA,"2005-12-05 11:52:21","2005-12-06 06:52:25"
"634","J. Alroy","J. Alroy","J. Alroy",9017,"D. A.","Eberth","D. B.","Brinkman","",1997,"Paleoecology of an estuarine, incised-valley fill in the Dinosaur Park Formation (Judith River Group, Upper Cretaceous) of southern Alberta, Canada","Palaios","","12","","43","58","journal article","stated without evidence","English","","","",NA,"2003-08-26 13:56:03","2003-08-27 06:56:04"
"638","J. Alroy","R. Whatley","R. Whatley",7854,"J. A.","Efremov","","","",1940,"Preliminary description of the new Permian and Triassic Tetrapoda from USSR  ","Academie des Sciences De L'Union Des Republiques Sovietiques Socialistes","","10","","93","140","journal article","stated without evidence","Russian","","","5%",47000,"2003-02-14 17:43:50","2005-03-05 09:40:03"
"640","M. Carrano","M. Carrano","M. Carrano",28154,"P.","Ellenberger","","","",1970,"Les niveaux pal�ontologiques de premi�re apparition des mammif�res primoridaux en Afrique du Sud et leur ichnologie.  Establissement de zones stratigraphiques detaillees dans le Stormberg du Lesotho (Afrique du Sud) (Trias Sup�rieur � Jurassique) [The paleontological levels of the first appearance of primordial mammals in southern Africa and their ichnology.  Establishment of detailed stratigraphic zones in the Stormberg of Lesotho (southern Africa) (Upper Triassic to Jurassic).","In: S. H. Haughton (ed.), Second Symposium on Gondwana Stratigraphy and Paleontology, International Union of Geological Sciences.  Council for Scientific and Industrial Research, Pretoria","","","","343","370","journal article","stated with evidence","French","","","ETE",NA,"2008-09-16 07:23:38","2008-09-17 00:25:24"
"672","J. Alroy","M. Sommers","",803,"R.","Estes","","","",1964,"Fossil vertebrates from the Late Cretaceous Lance Formation, eastern Wyoming","University of California Publications in Geological Sciences","","49","","1","180","","stated without evidence","","","","",NA,"2000-10-18 13:48:56","2000-10-19 07:48:56"
"679","J. Alroy","J. Alroy","",26129,"R.","Estes","","","",1975,"Xenopus from the Palaeocene of Brazil and its zoogeographic importance","Nature","","254","","48","50","journal article","stated with evidence","English","","","",NA,"2007-12-29 19:22:09","2007-12-30 14:22:09"
"680","J. Alroy","J. Alroy","",23573,"R.","Estes","","","",1976,"Middle Paleocene lower vertebrates from the Tongue River Formation, southeastern Montana","Journal of Paleontology","","50","3","500","520","journal article","stated with evidence","English","","","",NA,"2007-03-19 21:55:15","2007-03-20 15:55:15"
"681","M. Carrano","M. Carrano","",42765,"R.","Estes","","","",1981,"","Handbuch der Pal�oherpetologie/Encyclopedia of Paleoherpetology. Part 2. Gymnophiona, Caudata. Gustav Fischer Verlag, Stuttgart","","","","xv","115","book/book chapter","stated with evidence","English","","","",NA,"2012-08-28 05:16:56","2012-08-28 05:16:56"
"683","E. Fara","E. Fara","M. Carrano",4381,"R.","Estes","P.","Berberian","C. A. M. Meszoely",1969,"Lower vertebrates from the Late Cretaceous Hell Creek Formation, McCone County, Montana","Breviora","","337","","1","33","journal article","stated without evidence","English","","","5%",40240,"2002-03-01 16:57:37","2005-09-02 03:37:56"
"684","P. Mannion","P. Mannion","",38121,"R.","Estes","M.","Hecht","R. Hoffstetter",1967,"Paleocene amphibians from Cernay, France","American Museum Novitates","","2295","","1","25","journal article","stated with evidence","English","","","",NA,"2011-10-12 23:06:48","2011-10-12 23:06:48"
"685","M. Carrano","M. Carrano","",39272,"R.","Estes","R.","Hoffstetter","",1976,"Les urod�les du Mioc�ne de La Grive-Saint-Alban (Is�re, France) [The urodeles from the Miocene of La Grive-Saint-Alban (Is�re, France)]","Bulletin du Mus�um National d�Histoire Naturelle, Sciences de la Terre","","57","","297","343","journal article","stated with evidence","French","","","",NA,"2012-01-10 07:04:36","2012-01-10 07:04:36"
"687","M. Carrano","M. Carrano","",19446,"R.","Estes","B.","Sanch�z","",1982,"Early Cretaceous lower vertebrates from Galve (Teruel), Spain","Journal of Vertebrate Paleontology","","2","1","","","journal article","stated without evidence","English","","","ETE",NA,"2006-12-20 10:37:37","2006-12-21 05:37:40"
"688","M. Carrano","M. Carrano","",19691,"R.","Estes","B.","Sanch�z","",1982,"New discoglossid and palaeobatrachid frogs from the Late Cretaceous of Wyoming and Montana, and a review of other frogs from the Lance and Hell Creek Formations","Journal of Vertebrate Paleontology","","2","1","9","20","journal article","stated without evidence","English","","","ETE",NA,"2007-01-19 08:03:16","2007-01-20 03:03:22"
"689","J. Alroy","J. Alroy","",28313,"R.","Estes","Z. V.","Spinar","E. Nevo",1978,"Early Cretaceous pipid tadpoles from Israel (Amphibia: Anura)","Herpetologica","","34","4","374","393","journal article","stated with evidence","English","","","",NA,"2008-10-24 11:07:36","2008-10-25 05:07:36"
"690","J. Alroy","J. Alroy","J. Alroy",7565,"R.","Estes","J. A.","Tihen","",1964,"Lower vertebrates from the Valentine Formation of Nebraska","American Midland Naturalist","","72","2","453","472","journal article","stated with evidence","English","","","",NA,"2002-12-05 16:15:28","2007-11-04 15:06:49"
"691","J. Alroy","J. Alroy","J. Alroy",31062,"R.","Estes","M. H.","Wake","",1972,"The first fossil record of caecilian amphibians","Nature","","239","","228","231","journal article","stated with evidence","English","10.1038/239228b0 ","","",NA,"2009-11-03 09:27:06","2009-11-04 04:27:18"
"709","R. Butler","R. Butler","",30976,"S. E.","Evans","P. M.","Barrett","J. Hilton, R. J. Butler, M. E. H. Jones, M.-M. Liang, J. C. Parish, E. J. Rayfield, D. Sigogneau-Russell, C. J. Underwood",2006,"The Middle Jurassic vertebrate assemblage of Skye, Scotland","9th International Symposium on Mesozoic Terrestrial Ecosystems and Biota, Abstracts and Proceedings Volume, Natural History Museum, London","P. M. Barrett, S. E. Evans","","","36","39","book/book chapter","none discussed","English","","","",NA,"2009-10-28 03:55:27","2009-10-28 21:55:27"
"712","M. Carrano","M. Carrano","M. Carrano",10335,"S. E.","Evans","M.","Borsuk-Bialynicka","",1998,"A stem-group frog from the Early Triassic of Poland","Acta Palaeontologica Polonica","","43","4","573","580","journal article","stated without evidence","","","","",NA,"2004-04-23 10:32:59","2004-04-24 03:32:59"
"715","P. Mannion","J. Tennant","",49974,"S. E.","Evans","J. R.","Groenke","M. E. H. Jones, A. H. Turner, D. W. Krause",2014,"New material of Beelzebufo, a hyperossified frog (Amphibia: Anura) from the Late Cretaceous of Madagascar","PLoS One","","9","1","e87236","","journal article","stated with evidence","English","","","",NA,"2014-01-28 17:22:04","2014-01-29 10:22:04"
"716","J. Alroy","J. Alroy","M. Carrano",26523,"S. E.","Evans","M. E. H.","Jones","D. W. Krause",2008,"A giant frog with South American affinities from the Late Cretaceous of Madagascar","Proceedings of the National Academy of Sciences","","105","8","2951","2956","journal article","stated without evidence","English","","","",NA,"2008-02-19 14:29:56","2008-02-21 02:01:23"
"717","M. Carrano","M. Carrano","J. Alroy",26530,"S. E.","Evans","C.","Lally","D. J. Chure, A. Elder, J. A. Maisano",2005,"A Late Jurassic salamander (Amphibia: Caudata) from the Morrison Formation of North America","Zoological Journal of the Linnean Society","","143","4","599","616","journal article","stated with evidence","English","","","ETE",NA,"2008-02-20 07:13:56","2008-11-20 12:00:55"
"719","J. Alroy","J. Alroy","",30987,"S. E.","Evans","G. J.","McGowan","",2002,"An amphibian assemblage from the Purbeck Limestone Group","Special Papers in Palaeontology","","68","","103","119","journal article","stated with evidence","English","","","",NA,"2009-10-28 13:22:30","2009-10-29 07:22:30"
"720","J. Alroy","J. Alroy","",30993,"S. E.","Evans","A. R.","Milner","F. Mussett",1988,"The earliest known Salamanders (Amphibia, Caudata): A record from the Middle Jurassic of England","Geobios","","21","5","539","552","journal article","stated with evidence","English","","","",NA,"2009-10-28 17:01:40","2009-10-29 11:01:40"
"721","M. Carrano","M. Carrano","M. Carrano",10560,"S. E.","Evans","A. R.","Milner","F. Mussett",1990,"A discoglossid frog from the Middle Jurassic of England","Palaeontology","","33","1","299","311","journal article","stated without evidence","","","","ETE",NA,"2004-05-19 15:11:07","2004-05-20 08:14:49"
"725","M. Carrano","M. Carrano","",25847,"S. E.","Evans","A. R.","Milner","",1996,"A metamorphosed salamander from the Early Cretaceous of Las Hoyas, Spain","Philosophical Transactions of the Royal Society of London B","","351","","627","646","journal article","stated without evidence","English","","","ETE",NA,"2007-11-16 14:39:38","2007-11-17 09:39:38"
"726","R. Benson","R. Benson","",38087,"S. E.","Evans","A. R.","Milner","C. Werner",1996,"Sirenid salamanders and a gymnophionan amphibian from the Cretaceous of the Sudan","Palaeontology","","39","1","77","95","journal article","stated with evidence","English","","","",NA,"2011-10-10 20:00:53","2011-10-10 20:00:53"
"730","R. Benson","R. Benson","",38086,"S. E.","Evans","D.","Sigogneau-Russell","",2001,"A stem-group caecillian (Lissamphibia: Gymnophiona) from the Lower Cretaceous of North Africa","Palaeontology","","44","2","259","273","journal article","stated with evidence","English","","","",NA,"2011-10-10 19:45:11","2011-10-10 19:45:11"
"766","R. Butler","R. Butler","R. Butler",34744,"J.","Fortuny","A.","Galobart","C. De Santisteban",2011,"A new capitosaur from the Middle Triassic of Spain and the relationships within the Capitosauria","Acta Palaeontologica Polonica","","56","","553","566","journal article","stated with evidence","English","10.4202/app.2010.0025 ","","",NA,"2011-01-12 19:44:35","2011-09-26 17:36:55"
"787","J. Alroy","J. Alroy","M. Carrano",1535,"R. C.","Fox","","","",1989,"The Wounded Knee local fauna and mammalian evolution near the Cretaceous-Tertiary boundary, Saskatchewan, Canada","Palaeontographica Abteilung A","","208","1-3","11","59","journal article","stated with evidence","English","","","",NA,"2001-03-02 15:01:31","2013-06-19 06:21:25"
"795","M. Carrano","M. Carrano","",39274,"R. C.","Fox","B. G.","Naylor","",1982,"A reconsideration of the relationships of the fossil amphibian Albanerpeton","Canadian Journal of Earth Sciences","","19","","118","128","journal article","stated with evidence","English","","","",NA,"2012-01-10 07:17:07","2012-01-10 07:17:07"
"798","M. Carrano","M. Carrano","",43878,"E.","Fraas","","","",1896,"Die Schw�bischen Trias-Saurier nach dem Material der Kgl. Naturalien-Sammlung in Stuttgart zusammengestellt [Swabian Triassic dinosaurs based on the material in the Royal Natural History Collection compiled in Stuttgart]","Festgabe des K�niglichen Naturalien-Cabinets In Stuttgart zur 42 Versammlung der Deutschen geologischen Gesellschaft in Stuttgart, August 1896. E. Schweizerbart'sche Verlag-handlung (E. Koch), Stuttgart","","","","1","18","serial monograph","stated with evidence","German","","","",NA,"2012-12-12 10:41:50","2012-12-12 10:41:50"
"819","J. Alroy","J. Alroy","J. Alroy",30969,"M.","Friant","","","",1944,"Caract�res anatomiques d'un Batracien oligoc�ne de la Limagne, le Prodiscoglossus Vertaizoni nov. gen. nov. sp.","Comptes rendus hebdomadaires des s�ances de l'Acad�mie des sciences","","219","","561","562","journal article","stated with evidence","French","","","",NA,"2009-10-27 16:15:20","2009-10-29 02:09:12"
"823","J. Mueller","T. Liebrecht","",30585,"N. B.","Fr�bisch","R. R.","Reisz","",2008,"A New Lower Permian Amphibamid (Dissorophoidea, Temnospondyli) from the Fissure Fill Deposits near Richards Spur, Oklahoma","Journal of Vertebrate Paleontology","","28","4","1015","1030","journal article","stated without evidence","English","","","",NA,"2009-08-25 07:50:15","2009-08-26 00:50:15"
"858","R. Benson","R. Benson","",37781,"K. -Q.","Gao","S.","Chen","",2004,"A new frog (Amphibia: Anura) from the Lower Cretaceous of western Liaoning, China","Cretaceous Research","","25","","761","769","journal article","stated with evidence","English","","","",NA,"2011-09-21 18:41:23","2011-09-21 18:41:23"
"868","J. Alroy","J. Alroy","",31024,"K.-Q.","Gao","Y.","Wang","",2001,"Mesozoic anurans from Liaoning Province, China, and phylogenetic relationships of archaeobatrachian anuran clades","Journal of Vertebrate Paleontology","","21","3","460","476","journal article","stated with evidence","English","","","",NA,"2009-10-31 19:20:43","2009-11-01 13:20:43"
"870","J. Alroy","J. Alroy","M. Carrano",6845,"J. D.","Gardner","","","",1999,"New albanerpetontid amphibians from the Albian to Coniacian of Utah, USA�bridging the gap","Journal of Vertebrate Paleontology","","19","4","632","638","journal article","stated with evidence","English","","","",NA,"2002-08-02 10:51:05","2011-08-03 04:32:26"
"871","M. Carrano","M. Carrano","J. Alroy",26201,"J. D.","Gardner","","","",1999,"The amphibian Albanerpeton arthridion and the Aptian-Albian biogeography of albanerpetonids","Palaeontology","","42","3","529","544","journal article","stated with evidence","English","","","ETE",NA,"2008-01-10 14:25:08","2009-10-29 10:01:53"
"873","M. Carrano","M. Carrano","M. Carrano",42675,"J. D.","Gardner","","","",2000,"Albanerpetontid amphibians from the Upper Cretaceous (Campanian and Maastrichtian) of North America","Geodiversitas","","22","3","349","388","journal article","stated with evidence","English","","","",NA,"2012-08-18 07:13:55","2012-08-18 07:44:56"
"875","P. Mannion","P. Mannion","M. Carrano",42825,"J. D.","Gardner","","","",2003,"Revision of Habrosaurus Gilmore (Caudata; Sirenidae) and relationships among sirenid salamanders","Palaeontology","","46","6","1089","1122","journal article","stated with evidence","English","","","",NA,"2012-08-30 23:05:24","2013-09-14 05:59:25"
"876","M. Carrano","M. Carrano","M. Carrano",52044,"J. D.","Gardner","","","",2008,"New information on frogs (Lissamphibia: Anura) from the Lance Formation (Maastrichtian) and Bug Creek Anthills (late Maastrichtian and early Paleocene), Hell Creek Formation, USA","Vertebrate Microfossil Assemblages: Their Role in Paleoecology and Paleobiogeography","J. T. Sankey & S. Baszio","","","219","249","book chapter","stated with evidence","English","","","",NA,"2014-07-25 13:36:34","2014-07-26 04:36:59"
"878","P. Mannion","P. Mannion","",56016,"J. D.","Gardner","","","",2015,"An edentulous frog (Lissamphibia; Anura) from the Upper Cretaceous (Campanian) Dinosaur Park Formation of southeastern Alberta, Canada","Canadian Journal of Earth Sciences","","52","","569","580","journal article","stated with evidence","English","","","",NA,"2015-08-06 10:02:42","2015-08-07 01:02:42"
"879","E. Fara","E. Fara","E. Fara",19862,"J. D.","Gardner","A. O.","Averianov","",1998,"Albanerpetontid amphibians from the Upper Cretaceous of Middle Asia","Acta Palaeontologica Polonica","","43","3","453","467","journal article","stated with evidence","English","","","5%",53640,"2007-02-08 09:15:14","2007-02-09 04:17:00"
"880","P. Mannion","P. Mannion","",56071,"J. D.","Gardner","D. B.","Brinkman","",2015,"A new frog (Lissamphibia, Anura) from the Late Cretaceous of Alberta, Canada","All animals are interesting: a Festschrift in honour of Anthony P. Russell","O. R. P. Bininda-Emonds, G. L. Powell, H. A. Jamniczky, A. M. Bauer, J. Theodor","","","35","105","book chapter","stated with evidence","English","","","",NA,"2015-08-13 04:12:32","2015-08-13 19:12:32"
"881","M. Carrano","M. Carrano","",52039,"J. D.","Gardner","M.","B�hme","",2008,"Review of the Albanerpetontidae (Lissamphibia), with comments on the paleoecological preferences of European Tertiary albanerpetontids","Vertebrate Microfossil Assemblages: Their Role in Paleoecology and Paleobiogeography","J. T. Sankey & S. Baszio","","","178","218","book chapter","stated without evidence","English","","","",NA,"2014-07-25 09:49:27","2014-07-26 00:49:27"
"882","J. Alroy","J. Alroy","",30986,"J. D.","Gardner","S. E.","Evans","D. Sigogneau-Russell",2003,"New albanerpetontid amphibians from the Early Cretaceous of Morocco and Middle Jurassic of England","Acta Palaeontologica Polonica","","48","2","301","319","journal article","stated with evidence","English","","","",NA,"2009-10-28 12:52:55","2009-10-29 06:52:55"
"938","J. Bloch","R. Hulbert","",50692,"C. J.","Goin","W.","Auffenberg","",1955,"The fossil salamanders of the family Sirenidae","Bulletin of the Museum of Comparative Zoology","","113","7","497","514","journal article","stated with evidence","English","","","",NA,"2014-04-09 17:42:01","2014-04-10 08:42:01"
"940","P. Mannion","P. Mannion","",42824,"C. J.","Goin","W.","Auffenberg","",1958,"New salamanders of the family Sirenidae from the Cretaceous of North America","Fieldiana: Geology","","10","33","449","459","journal article","stated with evidence","English","","","",NA,"2012-08-30 22:28:37","2012-08-30 22:28:37"
"944","M. Clapham","M. Clapham","",49222,"J. E.","Gomez Pallerola","","","",1979,"Un ave y otras especies f�siles nuevas de la biofacies de Santa Mar�a de Mey� (L�rida)","Bolet�n Geol�gico y Minero","","90","","333","346","journal article","stated with evidence","Spanish","","","",NA,"2013-11-29 22:48:55","2013-11-30 15:48:55"
"971","J. Alroy","J. Alroy","J. Alroy",1717,"M.","Green","J. A.","Holman","",1977,"A late Tertiary stream channel fauna from South Bijou Hill, South Dakota","Journal of Paleontology","","51","3","543","547","journal article","stated without evidence","","","","",NA,"2001-03-02 15:01:31","2002-12-09 05:42:41"
"973","J. Mueller","T. Liebrecht","",28829,"J. T.","Gregory","","","",1948,"A New Limbless Vertebrate from the Pennsylvanian of Mazon Creek, Illinois","American Journal of Science","","246","","636","663","journal article","stated without evidence","English","","","",NA,"2008-12-19 10:42:31","2008-12-20 05:42:31"
"974","J. Mueller","T. Liebrecht","",28484,"J. T.","Gregory","F. E.","Peabody","L. I. Price",1956,"Revision of the Gymnarthridae - American Permian Microsaurs","Bulletin of the Peabody Museum of Natural History","","10","","1","77","serial monograph","","English","","","",NA,"2008-11-14 08:37:19","2008-11-15 03:37:19"
"984","J. Alroy","R. Whatley","J. Alroy",9746,"Yu. M.","Gubin","","","",1989,"Concerning the systematic position of the labyrinthodonts from the Malaya Kinel' locality, Orenburg Oblast [O sistematicheskom polozhenii labirintodontov iz mestonakhozhdeniya Malaya Kinel' (Orenburgskaya oblast').] ","Paleontologicheskiy Zhurnal, Moscow","","3","","116","120","journal article","stated without evidence","Russian","","based on English translation","5%",8400,"2004-01-23 14:50:36","2006-12-12 13:25:12"
"985","P. Mannion","P. Mannion","",46204,"Y. M.","Gubin","","","",1991,"Paleocene salamanders from southern Mongolia","Paleontological Journal","","25","","91","102","journal article","stated with evidence","English","","","",NA,"2013-04-09 01:36:05","2013-04-09 01:36:05"
"1004","J. Head","J. Head","J. Head",43539,"H. J.","Gut","C. E.","Ray","",1963,"The Pleistocene vertebrate fauna of Reddick, Florida","Quaterly Journal of the Florida Academy of Sciences","","26","4","315","328","journal article","stated without evidence","English","","","",NA,"2012-11-17 16:32:24","2012-11-17 16:37:17"
"1006","J. Mueller","T. Liebrecht","",30419,"T. R.","Haglund","","","",1977,"New Occurences and Paleoecology of Peronedon primus Olson (Nectridea)","Journal of Paleontology","","51","5","982","985","journal article","stated without evidence","English","","","",NA,"2009-07-26 14:47:57","2009-07-27 07:47:57"
"1034","J. Alroy","M. Sommers","",829,"J. E.","Hartman","","","",1986,"Paleontology and biostratigraphy of lower part of Polecat Bench Formation, southern Bighorn Basin, Wyoming","Contributions to Geology, University of Wyoming","","24","1","11","63","journal article","stated without evidence","","","","",NA,"2000-12-05 18:31:21","2000-12-06 13:31:21"
"1040","J. Alroy","S. Kuemmell","S. Kuemmell",11714,"H.","Haubold","","","",1982,"Zur Stellung der Wirbeltierfauna des Geiseltals, insbesondere der Mammalier, im europ�ischen Mitteleoz�n (Position of the European Middle Eocene vertebrate fauna of the Geisel Valley, with special focus on mammals)","Zeitschrift f�r geologische Wissenschaften","","10","12","1539","1551","journal article","stated without evidence","German","","","5%",24940,"2004-09-27 03:34:59","2004-11-30 20:02:35"
"1041","M. Uhen","M. Uhen","",27502,"H.","Haubold","A.","Allen","T. P. Atkinson, R. J. Buta, J. A. Lacefield, S. C. Minkin, B. A. Relihan",2005,"Interpretation of the tetrapod footprints from the early Pennsylvanian of Alabama","Pennsylvanian Footprints in the Black Warrior Basin of Alabama","","","","75","111","book/book chapter","stated without evidence","English","","Alabama Paleontological Society Monograph No. 1","",NA,"2008-06-29 14:25:36","2008-06-30 07:25:36"
"1042","R. Butler","R. Butler","",46664,"S. H.","Haughton","","","",1915,"Investigations in South African fossil reptiles and Amphibia. On a new species of Trematosaurus (T. sobeyi)","Annals of the South African Museum","","12","","47","51","journal article","","English","","","",NA,"2013-05-03 21:37:21","2013-05-03 21:37:21"
"1044","R. Butler","R. Butler","",46648,"S. H.","Haughton","","","",1925,"Investigations in South African fossil reptiles and amphibians (Part 13)","Annals of the South African Museum","","22","","227","261","journal article","","English","","","",NA,"2013-05-03 01:34:25","2013-05-03 01:34:25"
"1056","J. Alroy","J. Alroy","",28414,"M. K.","Hecht","","","",1960,"A new frog from an Eocene oil-well core in Nevada","American Museum Novitates","","2006","","1","14","journal article","stated with evidence","English","","","",NA,"2008-11-07 11:41:22","2008-11-08 06:41:22"
"1058","R. Benson","R. Benson","",37918,"M. K.","Hecht","B. M.","Hecht","",1984,"A new lizard from Jurassic deposits of Middle Asia","Palaeontological Journal","","18","3","133","136","journal article","stated with evidence","English","","","",NA,"2011-09-29 20:45:39","2011-09-29 20:45:39"
"1062","M. Carrano","M. Carrano","",17273,"A. B.","Heckert","","","",2004,"Late Triassic microvertebrates from the lower Chinle Group (Otischalkian-Adamanian: Carnian), southwestern U.S.A.","New Mexico Museum of Natural History and Science Bulletin","","27","","1","170","serial monograph","stated without evidence","English","","","ETE",NA,"2006-05-02 07:34:40","2006-05-03 00:34:47"
"1069","R. Butler","R. Butler","",31699,"A. B.","Heckert","S. G.","Lucas","J. W. Estep",2002,"Lower Chinle Group (Upper Triassic: Upper Carnian) tetrapods from the vicinity of Cameron, Arizona","Upper Triassic Stratigraphy and Paleontology, New Mexico Museum of Natural History and Science Bulletin","A. B. Heckert, S. G. Lucas","21","","73","76","book/book chapter","none discussed","English","","","",NA,"2010-01-25 07:32:22","2010-01-26 02:32:22"
"1082","M. Carrano","M. Carrano","",17758,"A. C.","Henrici","","","",1998,"A new pipoid anuran from the Late Jurassic Morrison Formation at Dinosaur National Monument, Utah","Journal of Vertebrate Paleontology","","18","2","321","332","journal article","stated without evidence","English","","","ETE",NA,"2006-06-21 06:58:09","2006-06-21 23:58:09"
"1083","J. Alroy","J. Alroy","",43427,"A. C.","Henrici","","","",2009,"Reassessment of Scaphiopus neuter Kluge, 1966 (Anura: Pelobatoidea: Pelobatidae), based on new material from Anceney, Montana (early Barstovian)","Annals of Carnegie Museum","","78","3","273","287","journal article","stated with evidence","English","","","",NA,"2012-11-06 11:32:54","2012-11-06 11:32:54"
"1084","J. Alroy","J. Alroy","",25356,"A. C.","Henrici","A. M.","B�ez","",2001,"First occurrence of Xenopus (Anura: Pipidae) on the Arabian Peninsula: a new species from the Upper Oligocene of Yemen","Journal of Paleontology","","75","4","870","882","journal article","stated with evidence","English","","","",NA,"2007-09-22 18:30:48","2007-09-23 11:30:48"
"1085","A. Behrensmeyer","A. Behrensmeyer","J. Alroy",5676,"A. C.","Henrici","A. R.","Fiorillo","",1993,"Catastrophic death assemblage of Chelomorphrynus bayi (Anura, Rhinophrynidae) from the Middle Eocene Wagon Bed Formation of central Wyoming","Journal of Paleontology","","67","6","1016","1026","journal article","stated without evidence","English","","ETE reference number 1432","ETE",1432,"2002-03-04 16:40:35","2007-09-24 03:12:30"
"1086","W. Dahdul","A. Dececchi","",42424,"A. C.","Henrici","S. R.","Haynes","",2006,"Elkobatrachus brocki, a new pelobatid (Amphibia: Anura) from the Eocene Elko Formation of Nevada","Annals of Carnegie Museum","","75","1","11","35","journal article","stated with evidence","English","","","",NA,"2012-07-25 02:50:59","2012-07-25 02:50:59"
"1087","J. Mueller","T. Liebrecht","T. Liebrecht",38771,"A. C.","Henrici","T.","Martens","D. S. Berman, S. S. Sumida",2011,"An Ostodolepid �Microsaur� (Lepospondyli) from the Lower Permian Tambach Formation of Central Germany","Journal of Vertebrate Paleontology","","31","5","997","1004","journal article","stated without evidence","English","10.1080/02724634.2011.596601","","",NA,"2011-12-08 13:11:13","2011-12-08 13:12:00"
